,society,bedRoom,bathroom,balcony,type,sector,Super_build_area,Carpet_area,Study Room,Servant Room,Pooja Room,age,luxury_score,furnishing_type,location_score,area_ratio,price
1049,The Crew Bos Chs Manesar,3,3,2,flat,manesar,3289.0,2300.0,0,0,0,old property,low,1,14,766.6666666666666,0.85
1050,Nagata Group Housing Society,3,3,3+,flat,sector 1,2302.3,1610.0,0,1,0,relatively new,low,1,14,536.6666666666666,0.85
1051,Emaar MGF Emerald Floors Premier,4,4,3,flat,sector 65,2824.25,1975.0,1,1,0,relatively new,low,1,16,493.75,2.85
1052,Emaar MGF Emerald Floors Premier,3,3,3,flat,sector 65,2359.5,1650.0,1,1,0,relatively new,low,1,16,550.0,2.24
1053,Emaar MGF Emerald Floors Premier,3,3,3,flat,sector 65,1859.0,1300.0,1,1,0,relatively new,low,1,16,433.3333333333333,2.55
1054,Emaar MGF Emerald Floors Premier,4,4,3,flat,sector 65,1976.975,1382.5,1,1,0,relatively new,low,1,16,345.625,2.85
1055,Emaar MGF Emerald Floors Premier,3,3,3,flat,sector 65,1651.65,1155.0,1,1,0,relatively new,low,1,16,385.0,2.5
1056,The Close North,3,3,3,flat,sector 50,3146.0,2200.0,0,1,0,old property,medium,1,42,733.3333333333334,2.75
1057,The Close North,3,3,3,flat,sector 50,2095.093,1465.1,0,0,1,old property,high,2,42,488.3666666666666,2.51
1058,M3M Merlin,4,4,3+,flat,sector 67,3157.1539999999995,2207.8,0,1,0,relatively new,high,2,42,551.9499999999999,4.5
1059,The Close North,3,3,3,flat,sector 50,2095.093,1465.1,0,0,1,relatively new,high,2,42,488.3666666666666,2.5
1060,SS The Leaf,2,2,3,flat,sector 85,1641.64,1148.0,0,0,0,relatively new,medium,1,42,574.0,1.14
1061,SS The Leaf,4,5,3+,flat,sector 85,2814.812,1968.4,0,0,0,relatively new,medium,1,42,492.1,1.85
1062,Mapsko Mount Ville,3,3,3,flat,sector 79,1663.09,1163.0,1,0,0,relatively new,medium,2,42,387.6666666666667,1.2
1063,Bestech Park View Ananda,3,2,3+,flat,sector 81,1833.26,1282.0,1,0,0,relatively new,medium,2,52,427.3333333333333,1.15
1064,Bestech Park View Ananda,2,2,3,flat,sector 81,1564.4199999999998,1094.0,1,0,0,relatively new,medium,2,52,547.0,0.88
1065,Bestech Park View Ananda,2,2,3,flat,sector 81,1564.4199999999998,1094.0,0,0,0,relatively new,medium,1,52,547.0,0.87
1066,DLF The Primus,3,3,3+,flat,sector 82a,2199.34,1538.0,0,0,0,relatively new,low,2,23,512.6666666666666,1.85
1067,Pioneer Araya,4,6,3,flat,sector 62,4603.17,3219.0,0,1,1,relatively new,high,2,42,804.75,9.95
1068,ATS Tourmaline,3,4,3+,flat,sector 109,2587.585,1809.5,0,1,0,relatively new,high,2,44,603.1666666666666,2.1
1069,Paras Dews,3,4,3,flat,sector 106,1677.39,1173.0,1,1,0,relatively new,low,1,52,391.0,1.14
1070,Pareena Coban Residences,3,5,3,flat,sector 99a,2145.0,1500.0,0,1,0,relatively new,low,1,55,500.0,1.13
1071,Paras Dews,3,4,3+,flat,sector 107,1758.9,1230.0,0,1,0,relatively new,high,1,52,410.0,1.05
1072,La Vida by Tata Housing,3,3,3,flat,sector 113,3503.5,2450.0,1,1,0,New Property,high,1,41,816.6666666666666,2.78
1073,La Vida by Tata Housing,2,2,3,flat,sector 113,1687.4,1180.0,0,0,0,New Property,high,1,41,590.0,1.55
1074,La Vida by Tata Housing,2,2,3,flat,sector 113,1644.5,1150.0,1,0,0,New Property,high,1,41,575.0,1.38
1075,La Vida by Tata Housing,3,3,3,flat,sector 113,2459.6,1720.0,0,1,0,New Property,high,1,41,573.3333333333334,2.35
1076,Shapoorji Pallonji Joyville Gurugram,3,3,3,flat,sector 102,1693.6919999999998,1184.4,0,0,0,relatively new,high,1,34,394.8,1.8
1077,Shapoorji Pallonji Joyville Gurugram,2,2,2,flat,sector 102,1216.215,850.5,0,0,0,relatively new,high,1,34,425.25,1.24
1078,Shapoorji Pallonji Joyville Gurugram,2,2,2,flat,sector 102,915.915,640.5,0,0,0,relatively new,high,1,34,320.25,0.96
1079,Conscient Heritage Max,3,4,3+,flat,sector 102,1943.942,1359.4,0,1,0,old property,medium,1,50,453.13333333333327,1.82
1080,Conscient Heritage Max,4,5,3+,flat,sector 102,2556.554,1787.8,0,1,0,old property,medium,1,50,446.95,2.65
1081,Conscient Heritage Max,3,4,3+,flat,sector 102,2151.149,1504.3,1,1,0,old property,medium,1,50,501.4333333333333,2.2
1082,Conscient Heritage Max,3,4,3+,flat,sector 102,1932.931,1351.6999999999998,0,1,0,old property,medium,1,50,450.5666666666666,1.78
1083,SBTL Caladium,3,3,3+,flat,sector 109,2547.545,1781.5,0,1,0,old property,high,1,16,593.8333333333334,1.68
1084,SBTL Caladium,3,2,3,flat,sector 109,1881.88,1316.0,0,0,0,old property,high,1,16,438.6666666666667,1.3
1085,Bestech Altura,3,4,3,flat,sector 79,2345.2,1640.0,0,0,0,New Property,low,1,34,546.6666666666666,1.72
1086,Ashiana Apartment,2,2,2,flat,sector 23a,780.78,546.0,0,0,0,old property,low,1,61,273.0,0.16
1087,HCBS Sports Ville,2,2,1,flat,sohna,858.0,600.0,0,0,0,New Property,low,1,0,300.0,0.2
1088,Orchid Island,2,2,1,flat,sector 51,1295.58,906.0,0,0,0,relatively new,low,1,46,453.0,0.72
1089,Signature Global Park,2,2,1,flat,sohna,1186.9,830.0,0,0,0,relatively new,low,1,42,415.0,0.54
1090,Vipul Lavanya,2,2,2,flat,sector 81,1109.68,776.0,0,0,0,old property,medium,1,5,388.0,0.64
1091,Vipul World,3,3,1,flat,sector 48,2073.5,1450.0,0,0,0,relatively new,medium,1,53,483.3333333333333,1.38
1092,Signature Global The Millennia 3,2,3,2,flat,sector 37d,843.6999999999999,590.0,0,0,0,relatively new,low,1,49,295.0,0.45
1093,AVL 36 Gurgaon,1,1,1,flat,sector 36a,500.5,350.0,0,0,0,relatively new,low,1,14,350.0,0.45
1094,Vatika Lifestyle Homes,3,2,3,flat,sector 83,1756.755,1228.5,0,0,0,relatively new,low,1,42,409.5,1.15
1095,Vatika City,4,5,3,flat,sector 49,4318.599999999999,3020.0,0,1,1,old property,low,0,23,755.0,3.6
1096,TARC Maceo,2,2,2,flat,sector 91,1311.3099999999995,917.0,0,0,0,relatively new,medium,0,25,458.5,0.9
1097,M3M Sky Lofts,1,1,0,flat,sector 71,781.352,546.4,0,0,0,New Property,low,1,52,546.4,0.9
1098,Lotus Homz,1,1,1,flat,sector 111,480.48,336.0,0,0,0,relatively new,medium,0,42,336.0,0.5
1099,M3M Heights,3,3,3,flat,sector 65,2917.2,2040.0,0,1,0,relatively new,low,1,52,680.0,2.86
1100,Ansal API Sushant Estate,1,1,0,flat,sector 52,357.5,250.0,0,0,0,old property,low,2,32,250.0,0.29
1101,Satya The Hermitage,2,3,3,flat,sector 103,1545.83,1081.0,0,1,0,relatively new,medium,1,50,540.5,0.89
1102,Satya The Hermitage,3,4,3+,flat,sector 103,2145.0,1500.0,0,1,0,New Property,low,1,50,500.0,1.12
1103,GLS Avenue 51,3,3,1,flat,sector 92,640.64,448.0,0,0,0,relatively new,low,1,9,149.33333333333334,0.5
1104,Pareena Coban Residences,3,5,3+,flat,sector 99a,1998.997,1397.9,0,0,0,New Property,low,1,55,465.9666666666666,1.4
1105,DLF Regal Gardens,4,4,3+,flat,sector 90,2217.215,1550.5,0,0,0,relatively new,low,2,24,387.625,2.05
1106,Eldeco Accolade,2,2,3+,flat,sohna,1214.07,849.0,1,0,0,relatively new,medium,1,18,424.5,0.87
1107,Ireo Uptown,2,2,2,flat,sector 66,1159.158,810.5999999999999,0,0,0,relatively new,medium,1,24,405.3,1.32
1108,Microtek Greenburg,2,2,3,flat,sector 86,1481.48,1036.0,1,0,0,relatively new,low,1,34,518.0,1.3
1109,GLS Avenue 51,3,3,1,flat,sector 92,915.2,640.0,0,0,0,relatively new,low,1,9,213.3333333333333,0.42
1110,Orris Carnation Residency,3,3,1,flat,sector 85,1486.485,1039.5,0,0,0,relatively new,medium,1,35,346.5,0.88
1111,AWHO Sispal Vihar,4,3,3+,flat,sector 49,2756.754,1927.8,0,0,0,old property,medium,1,46,481.95,2.0
1112,Suncity Heights,3,3,3+,flat,sector 54,2343.3409999999994,1638.6999999999998,0,1,0,relatively new,medium,1,50,546.2333333333332,3.85
1113,Signature Global City,2,2,3,flat,sector 37d,829.4,580.0,0,0,0,New Property,medium,1,42,290.0,0.68
1114,Godrej Nature Plus,2,2,2,flat,sector-33 sohna,1169.72284,817.9879999999999,0,0,0,Under Construction,medium,1,41,408.994,1.31
1115,Godrej Nature Plus,3,3,3,flat,sector-33 sohna,2854.28,1996.0,0,1,0,New Property,low,1,41,665.3333333333334,1.65
1116,Emaar MGF Palm Hills,3,4,3+,flat,sector 77,1741.74,1218.0,0,1,0,New Property,low,2,42,406.0,1.9
1117,TARC Maceo,4,3,3+,flat,sector 91,3317.6,2320.0,1,0,1,relatively new,low,0,25,580.0,1.8
1118,ROF Aalayas,2,2,1,flat,sector 102,765.05,535.0,0,0,0,relatively new,low,0,35,267.5,0.45
1119,Green Homes,3,3,3,flat,sector 52,2352.35,1645.0,0,1,0,old property,low,1,42,548.3333333333334,1.85
1120,AWHO Shanti Vihar,2,2,3,flat,sector 95,786.5,550.0,1,0,0,New Property,medium,1,12,275.0,0.8
1121,Ansal API Esencia,3,3,3+,flat,sector 67,1555.554,1087.8,0,0,0,old property,low,1,10,362.6,1.0
1122,Spaze Privy AT4,2,2,3,flat,sector 84,1611.61,1127.0,1,0,0,relatively new,high,2,42,563.5,1.2
1123,Breez Global Hill View,2,2,2,flat,sohna,893.75,625.0,0,0,0,relatively new,medium,1,44,312.5,0.35
1124,Godrej Oasis,2,2,1,flat,sector 88a,1662.23772,1162.404,1,0,0,New Property,medium,1,18,581.202,1.15
1125,Sare Crescent Parc,4,4,3,flat,sector 92,2394.392,1674.4,0,0,0,relatively new,low,1,0,418.6,1.0
1126,TARC Maceo,2,2,3+,flat,sector 91,1405.4039999999998,982.8,0,0,0,old property,medium,1,25,491.4,0.96
1127,DLF New Town Heights 2,3,3,3,flat,sector 86,1931.93,1351.0,0,1,1,old property,medium,1,31,450.3333333333333,1.3
1128,Rose Apartment,3,5,3+,flat,sector 28,2864.862,2003.4,0,0,0,undefined,low,1,37,667.8,3.0
1129,M3M Soulitude,3,3,2,flat,sector 89,1287.0,900.0,0,0,0,New Property,medium,1,32,300.0,1.3
1130,The Rama Apartment CGHS,4,4,3+,flat,sector 43,3503.5,2450.0,0,1,0,old property,low,1,33,612.5,2.5
1131,Emaar Palm Heights,3,3,3,flat,sector 77,2002.0,1400.0,0,1,0,New Property,low,2,18,466.6666666666667,2.25
1132,Bestech Park View Ananda,3,2,3+,flat,sector 81,1547.26,1082.0,0,0,0,relatively new,low,1,52,360.6666666666667,1.45
1133,Godrej Aria,2,2,3+,flat,sector 79,1496.495,1046.5,1,0,0,relatively new,medium,1,49,523.25,1.45
1134,Whiteland Blissville,3,3,2,flat,sector 76,1673.6719999999998,1170.4,0,0,0,undefined,low,1,50,390.13333333333327,1.9
1135,GLS Avenue 51,3,3,1,flat,sector 92,915.2,640.0,0,0,0,New Property,medium,0,9,213.3333333333333,0.5
1136,M3M The Marina,3,2,3+,flat,sector 68,1509.5079999999998,1055.6,0,0,0,New Property,low,1,42,351.8666666666666,1.45
1137,Smart World Gems,2,2,2,flat,sector 89,1261.832,882.4000000000001,1,0,0,New Property,low,1,52,441.2000000000001,1.05
1138,BPTP Freedom Park Life,5,6,3+,flat,sector 57,5731.44,4008.0,0,1,1,old property,high,2,9,801.6,5.5
1139,Sidhartha NCR One,2,2,2,flat,sector 95,1716.0,1200.0,0,0,0,New Property,low,1,0,600.0,0.56
1140,Sidhartha NCR One,2,2,2,flat,sector 95,1761.76,1232.0,0,0,0,New Property,low,1,0,616.0,0.57
1141,ATS Triumph,3,4,3+,flat,sector 104,3274.7,2290.0,0,1,0,New Property,medium,1,52,763.3333333333334,2.3
1142,Shree Vardhman Victoria,3,5,3,flat,sector 70,1660.23,1161.0,0,1,1,New Property,low,1,37,387.0,1.75
1143,Emaar Gurgaon Greens,3,3,3,flat,sector 102,1461.46,1022.0,0,0,0,relatively new,low,1,42,340.6666666666667,1.6
1144,Emaar Digihomes,3,3,3,flat,sector 62,3700.84,2588.0,0,1,0,New Property,low,2,44,862.6666666666666,3.95
1145,Apex Our Homes,2,2,1,flat,sector 37c,1144.0,800.0,0,0,0,relatively new,medium,1,27,400.0,0.38
1146,Signature The Roselia,2,2,2,flat,sector 95a,813.67,569.0,1,0,0,New Property,medium,2,21,284.5,0.42
1147,Sare Crescent Parc Royal Greens Phase 1,4,4,3,flat,sector 92,2022.02,1414.0,0,0,0,New Property,low,1,5,353.5,1.0
1148,Signature Global The Millennia 3,3,3,2,flat,sector 37d,1001.0,700.0,0,0,0,relatively new,low,1,49,233.3333333333333,0.5
1149,Imperia The Esfera,3,3,2,flat,sector 37c,1761.76,1232.0,0,0,0,New Property,low,1,27,410.6666666666667,0.86
1150,M3M Golfestate,3,3,3,flat,sector 65,3366.363,2354.1,1,0,0,old property,low,0,51,784.6999999999999,5.9
1151,Eldeco Accolade,2,2,3,flat,sohna,1214.07,849.0,1,0,0,relatively new,low,1,18,424.5,0.96
1152,Emaar MGF The Palm Drive,3,3,2,flat,sector 66,2288.0,1600.0,1,1,1,New Property,medium,0,43,533.3333333333334,2.8
1153,GLS Arawali Homes,2,2,2,flat,sohna,650.6499999999999,455.0,0,0,0,New Property,low,1,7,227.5,0.28
1154,Shapoorji Pallonji Joyville Gurugram,3,3,2,flat,sector 102,1468.61,1027.0,0,0,0,New Property,low,1,34,342.3333333333333,2.03
1155,The New CRPF Apartments,3,3,3,flat,sector 9a,1844.7,1290.0,0,0,1,undefined,low,1,34,430.0,0.75
1156,BPTP Astaire Gardens,4,3,3,flat,sector 70a,2717.0,1900.0,0,0,0,relatively new,low,2,50,475.0,1.7
1157,Experion Windchants,2,2,3,flat,sector 112,2145.0,1500.0,1,1,0,relatively new,medium,2,40,750.0,3.1
1158,Pivotal Riddhi Siddhi,2,2,2,flat,sector 99,839.41,587.0,0,0,0,New Property,low,1,35,293.5,0.4
1159,Godrej Habitat,2,2,2,flat,sector 3,2064.92,1444.0,0,0,0,old property,low,1,52,722.0,1.3
1160,GLS Arawali Homes,2,2,2,flat,sohna,823.68,576.0,0,0,0,New Property,medium,1,7,288.0,0.26
1161,MVN Athens,2,2,1,flat,sohna,570.5699999999999,399.0,0,0,0,relatively new,low,1,6,199.5,0.24
1162,Shree Vardhman Mantra,2,2,1,flat,sector 67,1144.0,800.0,0,0,0,New Property,medium,1,45,400.0,0.56
1163,Raheja Atlantis,4,5,3+,flat,sector 31,2945.943,2060.1,1,1,1,relatively new,medium,1,52,515.025,5.5
1164,DLF New Town Heights,4,4,3+,flat,sector 91,3351.92,2344.0,0,1,1,old property,medium,1,50,586.0,1.8
1165,Tashee Capital Gateway,2,2,1,flat,sector 111,1479.4779999999998,1034.6,1,0,0,relatively new,medium,1,34,517.3,0.96
1166,Breez Global Heights,2,2,2,flat,sohna,623.6229999999999,436.1,0,0,0,New Property,medium,1,42,218.05,0.42
1167,Adani Brahma Samsara Vilasa,3,3,3+,flat,sector 63,2036.034,1423.8,0,0,0,New Property,low,2,52,474.6,3.35
1168,Central Park 2 Bellevue,3,4,3,flat,sector 48,6149.0,4300.0,0,0,0,old property,medium,1,46,1433.3333333333333,5.0
1169,Tulip Orange,3,2,2,flat,sector 70,1387.1,970.0,0,0,0,old property,medium,1,35,323.3333333333333,1.0
1170,Sobha City,2,2,2,flat,sector 108,1382.381,966.7,0,0,0,New Property,medium,2,33,483.35,2.4
1171,Birla Navya,3,3,3,flat,sector 63a,3078.218,2152.6,0,0,0,relatively new,low,1,33,717.5333333333333,3.15
1172,Ashiana Mulberry,2,2,3+,flat,sohna,1192.62,834.0,1,0,0,New Property,medium,1,25,417.0,0.95
1173,Godrej Nature Plus,3,2,3+,flat,sector-33 sohna,1323.63374,925.618,0,0,0,New Property,medium,1,41,308.53933333333333,1.4
1174,Central Park Flower Valley,3,3,3+,flat,sector-33 sohna,1591.59,1113.0,0,0,0,New Property,low,1,33,371.0,2.15
1175,TARC Maceo,3,3,3+,flat,sector 91,3317.6,2320.0,0,0,1,relatively new,low,0,25,773.3333333333334,1.8
1176,Signature Global City 37D Ph 2,3,3,2,flat,sector 37d,1866.15,1305.0,0,0,0,relatively new,medium,1,21,435.0,1.07
1177,Raheja Vedaanta,2,2,2,flat,sector 108,1721.72,1204.0,0,0,0,relatively new,low,1,0,602.0,0.7
1178,Eldeco Accolade,3,2,3,flat,sohna,1458.457,1019.9,0,0,0,relatively new,low,1,18,339.96666666666664,1.1
1179,Woodstock Floors,2,2,2,flat,sector 50,1412.84,988.0,0,0,0,old property,low,1,35,494.0,1.05
1180,MVN Athens,2,2,1,flat,sohna,830.8299999999999,581.0,0,0,0,relatively new,medium,2,6,290.5,0.25
1181,Adani Aangan Galleria,2,2,2,flat,sector 89a,850.8499999999999,595.0,0,0,0,relatively new,low,1,12,297.5,0.42
1182,Birla Navya,2,2,2,flat,sector 63a,1801.8,1260.0,0,0,0,undefined,low,1,33,630.0,2.1
1183,Ramsons Kshitij,1,1,1,flat,sector 95,4593.16,3212.0,0,0,0,relatively new,low,1,5,3212.0,0.19
1184,The Arzoo CGHS,4,4,3,flat,sector 51,2631.2,1840.0,0,0,0,relatively new,medium,1,32,460.0,2.1
1185,Sare Crescent Parc,4,4,3,flat,sector 92,2917.2,2040.0,0,0,0,relatively new,low,1,5,510.0,1.44
1186,Sare Crescent Parc,3,3,2,flat,sector 92,2053.48,1436.0,0,0,0,relatively new,low,1,5,478.6666666666667,0.71
1187,Breez Global Heights,1,1,1,flat,sohna,563.42,394.0,0,0,0,relatively new,low,1,42,394.0,0.21
1188,Shapoorji Pallonji Joyville Gurugram,3,3,3,flat,sector 102,1828.827,1278.9,0,0,0,relatively new,high,1,34,426.3,2.5
1189,Sare Homes,3,1,3,flat,sector 92,1693.12,1184.0,0,0,0,old property,medium,1,5,394.6666666666667,0.56
1190,HSIIDC Sidco Aravali,3,3,3,flat,manesar,2590.588,1811.6,0,1,0,old property,low,0,14,603.8666666666667,0.9
1191,Bestech Park View Ananda,3,3,3+,flat,sector 81,2559.7,1790.0,0,0,0,relatively new,medium,1,52,596.6666666666666,1.35
1192,Smartworld One DXP,3,3,3,flat,sector 113,1930.5,1350.0,0,0,0,New Property,low,1,53,450.0,2.0
1193,Tulip Lemon,2,1,1,flat,sector 69,752.18,526.0,0,0,0,relatively new,low,1,0,263.0,0.6
1194,Raheja Vedaanta,2,2,2,flat,sector 108,2702.7,1890.0,0,0,0,relatively new,low,1,0,945.0,1.0
1195,Sare Crescent Parc,4,4,2,flat,sector 92,1751.75,1225.0,0,0,0,old property,medium,0,5,306.25,0.87
1196,Paras Irene,2,2,3,flat,sector 70a,2016.3,1410.0,0,0,0,old property,low,2,42,705.0,1.3
1197,Signature The Roselia,2,2,2,flat,sector 95a,958.1,670.0,0,0,0,relatively new,low,1,21,335.0,0.48
1198,Unitech Sunbreeze,2,2,2,flat,sector 69,1096.095,766.5,0,0,0,relatively new,low,1,35,383.25,0.75
1199,Signature Andour Heights,2,2,1,flat,sector 71,775.06,542.0,0,0,0,relatively new,low,1,27,271.0,0.65
1200,RWA,3,2,1,flat,sector 7,1144.0,800.0,0,0,0,New Property,low,1,24,266.6666666666667,0.48
1201,Signature Global City 63A,2,2,2,flat,sector 63a,1501.5,1050.0,0,0,0,undefined,low,1,43,525.0,1.55
1202,Housing Board Colony,1,1,2,flat,sector 51,586.3,410.0,0,0,0,old property,low,1,40,410.0,0.3
1203,Vatika Gurgaon 21,2,2,2,flat,sector 83,1246.245,871.5,0,0,0,old property,low,1,42,435.75,0.87
1204,Dlf 76,4,4,2,flat,New Gurgaon,5005.0,3500.0,1,1,0,Under Construction,medium,2,14,875.0,4.0
1205,ATS Marigold,3,3,3+,flat,sector 89a,2152.15,1505.0,0,1,0,New Property,low,1,34,501.6666666666667,1.85
1206,Godrej Nature Plus,3,2,3+,flat,sector-33 sohna,1558.5569999999998,1089.9,0,0,0,New Property,low,1,41,363.3,1.3
1207,Imperia The Esfera,3,3,3,flat,sector 37c,1573.0,1100.0,0,0,0,relatively new,low,1,27,366.6666666666667,0.9
1208,DLF Icon,4,4,3+,flat,sector 53,3204.344,2240.8,0,0,0,undefined,low,1,42,560.2,5.8
1209,AIPL Zen Residences,2,2,2,flat,sector 70a,1144.0,800.0,0,0,0,relatively new,low,1,26,400.0,1.4
1210,CHD Avenue 71,2,2,0,flat,sector 71,1372.8,960.0,0,0,0,old property,low,1,30,480.0,0.95
1211,Godrej Nature Plus,3,2,3+,flat,sector-33 sohna,1558.5569999999998,1089.9,0,0,0,New Property,low,1,41,363.3,1.35
1212,Shree Vardhman Flora,2,2,3,flat,sector 90,1353.352,946.4,1,0,0,New Property,low,1,49,473.2,0.7
1213,Experion The Heartsong,4,5,3+,flat,sector 108,2332.33,1631.0,0,1,0,relatively new,high,0,42,407.75,3.0
1214,Sare Crescent Parc,2,2,3,flat,sector 92,1001.0,700.0,0,0,0,old property,low,1,5,350.0,0.5
1215,M3M Capital,3,3,2,flat,sector 113,1666.665,1165.5,0,0,0,relatively new,low,1,51,388.5,2.0
1216,ATS Marigold,3,3,3+,flat,sector 89a,2502.5,1750.0,1,0,0,Under Construction,medium,1,34,583.3333333333334,1.7
1217,AVL 36 Gurgaon,2,2,2,flat,sector 36a,726.726,508.2,0,0,0,relatively new,medium,1,14,254.1,0.65
1218,DLF The Arbour,4,4,3,flat,sector 63,3146.0,2200.0,0,0,0,New Property,low,1,26,550.0,7.52
1219,M3M Capital,4,4,3+,flat,sector 113,3286.14,2298.0,0,1,0,New Property,medium,1,51,574.5,2.87
1220,Godrej Nature Plus,2,2,3,flat,sector-33 sohna,1185.11393,828.751,0,0,0,New Property,medium,1,41,414.3755,1.2
1221,Tulip Lemon,2,1,1,flat,sector 69,858.0,600.0,0,0,0,relatively new,low,1,35,300.0,0.6
1222,Shree Vardhman Victoria,3,5,3,flat,sector 70,2788.5,1950.0,0,0,0,New Property,medium,1,37,650.0,1.8
1223,Signature Global Synera,2,2,1,flat,sector 81,712.14,498.0,0,0,0,relatively new,low,2,34,249.0,0.48
1224,Sahara Grace,3,4,3,flat,sector 28,3465.4619999999995,2423.4,0,1,0,undefined,low,1,45,807.7999999999998,4.3
1225,Smart World Gems,2,2,2,flat,sector 89,1104.1029999999998,772.0999999999999,1,0,0,New Property,medium,1,52,386.05,0.9
1226,Aipl Peaceful Homes,3,3,3+,flat,sector 70a,2459.6,1720.0,0,0,0,relatively new,low,1,26,573.3333333333334,2.75
1227,BPTP Astaire Gardens,3,3,3+,flat,sector 70a,1701.6999999999998,1190.0,0,0,0,relatively new,low,0,50,396.6666666666667,1.2
1228,Viridian The Plaza 106,1,1,1,flat,sector 106,1001.0,700.0,0,0,0,New Property,medium,1,24,700.0,0.46
1229,Signature Global City,3,3,2,flat,sector 37d,1851.85,1295.0,0,0,0,New Property,low,1,42,431.6666666666667,1.1
1230,Pareena Mi Casa,2,2,3,flat,sector 68,1246.245,871.5,0,0,0,New Property,low,1,52,435.75,1.15
1231,Signature Global Orchard Avenue,2,2,0,flat,sector 93,835.12,584.0,0,0,0,relatively new,low,1,25,292.0,0.4
1232,Trisara Our Homes 3,2,2,2,flat,sector 6 sohna,860.86,602.0,0,0,0,undefined,low,1,45,301.0,0.4
1233,M3M Heights,2,2,3,flat,sector 65,2049.19,1433.0,0,0,0,relatively new,low,1,52,716.5,2.25
1234,Adani Brahma Samsara Vilasa,3,3,3+,flat,sector 63,3403.4,2380.0,0,0,0,New Property,medium,1,52,793.3333333333334,3.4
1235,Vatika Independent Floors,4,3,0,flat,sector 82,2059.2,1440.0,0,0,0,relatively new,low,1,27,360.0,1.45
1236,Tulip Violet,2,3,0,flat,sector 69,1258.4,880.0,0,0,0,relatively new,low,1,42,440.0,1.2
1237,M3M Heights,2,2,3,flat,sector 65,1262.2609999999995,882.6999999999999,0,0,0,relatively new,medium,1,52,441.35,1.9
1238,HCBS Sports Ville,1,1,1,flat,sohna,1001.0,700.0,0,0,0,New Property,medium,1,0,700.0,0.22
1239,GLS Arawali Homes,2,2,2,flat,sohna,686.4,480.0,0,0,0,relatively new,low,1,7,240.0,0.29
1240,Chintamani,3,3,3,flat,sector 103,1930.5,1350.0,0,0,0,relatively new,low,1,16,450.0,1.57
1241,Signature Global City,2,2,2,flat,sector 37d,950.95,665.0,0,0,0,relatively new,low,1,42,332.5,0.8
1242,Signature Global City 37D Ph 2,3,3,3+,flat,sector 37d,2059.2,1440.0,0,0,1,relatively new,medium,1,21,480.0,1.35
1243,Tulip Violet,4,4,1,flat,sector 69,2812.81,1967.0,0,0,0,relatively new,low,1,42,491.75,2.0
1244,Signature Global Park,3,2,3,flat,sector 36 sohna,1244.1,870.0,0,0,0,undefined,low,1,42,290.0,0.87
1245,Eldeco Accolade,2,2,2,flat,sohna,1265.264,884.8,0,0,0,relatively new,medium,1,18,442.4,0.78
1246,Raheja Navodaya,3,2,3,flat,sector 92,2645.5,1850.0,0,0,0,relatively new,low,1,27,616.6666666666666,1.1
1247,Housing Board Colony,1,1,0,flat,sector 51,926.64,648.0,1,0,0,old property,low,1,40,648.0,0.3
1248,Sare Green ParC Phase 3,3,2,2,flat,sector 92,1299.2979999999998,908.6,0,0,0,New Property,low,1,26,302.8666666666666,0.79
1249,Sare Crescent Parc Royal Greens Phase 1,3,2,2,flat,sector 92,1299.2979999999998,908.6,0,0,0,New Property,low,1,5,302.8666666666666,0.79
1250,Godrej Nature Plus,3,3,3+,flat,sector-33 sohna,1930.5,1350.0,0,1,0,New Property,low,1,41,450.0,1.7
1251,Godrej Oasis,3,3,3+,flat,sector 88a,1851.85,1295.0,0,0,0,relatively new,low,2,18,431.6666666666667,1.4
1252,Bestech Altura,4,5,2,flat,sector 79,3060.2,2140.0,0,1,0,New Property,low,1,34,535.0,2.55
1253,Hero Homes,3,3,3,flat,sector 104,1547.26,1082.0,0,0,1,New Property,medium,2,42,360.6666666666667,1.9
1254,M3M Sierra 68,2,2,3,flat,sector 68,992.42,694.0,0,0,0,New Property,low,1,42,347.0,1.25
1255,Indiabulls Centrum Park,3,3,3+,flat,sector 103,2002.0,1400.0,1,0,0,relatively new,low,1,50,466.6666666666667,1.65
1256,Sare Green Parc 2,3,3,3,flat,sector 92,1930.5,1350.0,0,0,0,relatively new,low,2,5,450.0,0.75
1257,DLF Express Greens,4,6,3+,flat,manesar,3360.5,2350.0,1,1,1,relatively new,low,1,14,587.5,1.6
1258,M3M Woodshire,2,2,3,flat,sector 107,1510.08,1056.0,1,0,0,relatively new,low,1,16,528.0,1.15
1259,Hero Homes,3,2,2,flat,sector 104,1264.12,884.0,0,0,0,relatively new,low,1,42,294.6666666666667,1.4
1260,Signature Global Park,3,2,3+,flat,sohna,1545.83,1081.0,0,0,0,New Property,medium,1,42,360.3333333333333,0.75
1261,Suncity Vatsal Valley,2,2,2,flat,sector 2,1072.5,750.0,0,0,0,New Property,low,2,51,375.0,1.0
1262,Signature Global Superbia,2,2,3,flat,sector 95,849.42,594.0,0,0,0,New Property,low,1,51,297.0,0.4
1263,Shree Vardhman Victoria,3,4,2,flat,sector 70,2230.8,1560.0,0,1,1,relatively new,low,1,37,520.0,1.75
1264,M3M Heights,2,2,3,flat,sector 65,1144.0,800.0,0,0,0,New Property,low,1,52,400.0,2.1
1265,Smart World Orchard,3,3,1,flat,sector 61,1772.056,1239.2,0,0,0,New Property,low,1,51,413.06666666666666,2.5
